,Cognition,Affect,Social,Perception,overgeneralization,insightfulness,causality,conditional,safety,assurance,memory,optimism,pessimism,emotional,positive,negative,anxiety,anger,sadness,otherness,altruism,politeness,aggression,morality,communication,attention,movement,spatial,vision,auditory,interoception,time,nostalgic,contemporary,prospective
418,5.95,7.14,28.57,15.48,1.19,1.19,1.19,0.0,1.19,0.0,0.0,1.19,4.76,2.38,0.0,0.0,0.0,0.0,0.0,4.76,1.19,0.0,1.19,0.0,1.19,0.0,7.14,8.33,0.0,1.19,0.0,2.38,3.57,9.52,0.0
419,11.54,3.85,21.15,9.62,1.92,0.0,0.0,0.0,0.0,1.92,0.0,1.92,1.92,1.92,0.0,1.92,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77,0.0,1.92,1.92,7.69,9.62,1.92,0.0
420,0.0,11.11,22.22,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,2.78,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,5.56,0.0,0.0,2.78,2.78,11.11,0.0,0.0,0.0,2.78,8.33,13.89,0.0
421,9.0,3.0,14.0,9.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,5.0,2.0,11.0,3.0
422,8.82,11.76,22.06,4.41,1.47,1.47,0.0,2.94,0.0,0.0,1.47,4.41,4.41,5.88,2.94,0.0,0.0,0.0,0.0,4.41,2.94,1.47,0.0,0.0,1.47,0.0,0.0,2.94,1.47,0.0,0.0,7.35,4.41,11.76,0.0
423,9.68,6.45,35.48,0.0,3.23,0.0,3.23,3.23,0.0,0.0,0.0,3.23,3.23,0.0,0.0,0.0,0.0,0.0,0.0,9.68,3.23,3.23,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,6.45,12.9,0.0,0.0
424,3.28,6.56,40.98,13.11,0.0,0.0,1.64,0.0,0.0,0.0,0.0,6.56,0.0,3.28,3.28,0.0,0.0,0.0,0.0,13.11,1.64,0.0,0.0,0.0,3.28,0.0,3.28,6.56,1.64,0.0,1.64,4.92,1.64,9.84,6.56
425,14.46,0.0,12.05,6.02,0.0,1.2,1.2,0.0,4.82,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,2.41,3.61,1.2,0.0,0.0,0.0,1.2,9.64,1.2
426,17.11,6.58,26.32,14.47,1.32,3.95,2.63,0.0,9.21,0.0,0.0,5.26,0.0,3.95,2.63,0.0,0.0,0.0,0.0,7.89,0.0,0.0,0.0,0.0,3.95,1.32,2.63,6.58,2.63,1.32,0.0,1.32,3.95,5.26,3.95
427,13.46,0.0,7.69,9.62,1.92,1.92,1.92,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,3.85,1.92,0.0,3.85,9.62,3.85,7.69,1.92
